0,TERROR,INSECURE,STRESS,CHICKEN,SCARED,SCARED,AFRAID,SCARED,SCARED,SCARED,FEAR,SCARED,DARK,AFRAID,ALONE,TERROR,MYSTERY,SCARE,TERROR,THREAT,TERROR,ALARM,TERROR,TERROR,MYSTERY,MYSTERY,SCARE,TERROR,THREAT,TERROR,ALARM,TERROR,BOYS,BOYS,BOYS,BOYS,GUYS,BOYS,PEOPLE,BOYS,BOYS,LIAR,SNOTTY,IDIOT,SITUATION,INSTANCE,RUSH,INSTANCE,INSTANCE,NOW,INSTANCE,SITUATION,SITUATION,SITUATION,SITUATION,SITUATION,SITUATION,COWGIRL,HORSE,COWGIRL,COWGIRL,FARM,HORSE,COW,MEADOW,COWGIRL,TAXI,TAXI,TAXI,HORSE,COWGIRL,COWGIRL,WAGON,WEST,WEST,WEST,HORSE,COWGIRL,WEST,TENNIS,COURT,APPEAL,FEDERAL,LAW,LEGISLATURE,LAW,COURT,ADJOURN,UNJUST,CASE,JUDGE,PROSECUTE,GAVEL,JUDGE,BURGLAR,GUILTY,DIVORCE,TENNIS,GYM,BASKETBALL,ARENA,RECREATION,TENNIS,BASKETBALL,RECREATION,RACQUET,FOOTBALL,LEAGUE,BASKETBALL,RACQUET,FOOTBALL,RACQUET,FOOTBALL,TENNIS,RECREATION,TENNIS,RECREATION,PLAY,RACQUET,RACQUET,RACQUET,TAVERN,HOUSE,HOUSE,SERVANT,HOUSE,HOUSE,PREMISES,TOWN,HALLWAY,HOUSE,HOUSE,DORM,HOUSE,HOUSE,BURGLARY,BUYER,FARM,HOUSE,BLUEPRINT,INTERIOR,HOUSE,DECORATION,SENATE,HOUSE,VACATE,SHACK,STAIRWAY,CURTAINS,TAVERN,BARTENDER,FARM,ANIMALS,TIGER,FARM,CATTLE,CATTLE,MOOSE,FARM,HORSE,FARM,COW,FEED,BEEF,MEADOW,FRY,PANCAKES,THAW,SKILLET,THAW,FRY,PANCAKES,SPATULA,THAW,SKILLET,THAW,SALARY,SALARY,WAGE,SALARY,WAGE,SALARY,ABUNDANCE,ABUNDANCE,LESS,WAGE,SALARY,DEPTH,LOW,SALARY,SALARY,SALARY,SALARY,WAGE,SALARY,MOUNTAIN,APEX,APEX,APEX,ZENITH,APEX,ZENITH
1,AFRAID,AFRAID,ANXIETY,AFRAID,AFRAID,AFRAID,MEEK,AFRAID,COURAGE,AFRAID,AFRAID,AFRAID,SCARED,TIMID,SCARED,AFRAID,SCARY,HAUNT,HORROR,SCARE,HORROR,SCARE,HORROR,AFRAID,FRIGHT,SCARY,HAUNT,HORROR,SCARE,HORROR,SCARE,HORROR,GUYS,GUYS,GUYS,GUYS,BOYS,IMMATURE,GUYS,MEN,GUYS,JERK,STUCK UP,MORON,INSTANCE,MINUTE,BUSY,MOMENT,SECOND,INSTANT,INSTANT,INSTANCE,HAPPENING,CONDITION,POSITION,PROBLEM,BAD,RODEO,COW,RODEO,FARM,HOUSE,COW,FARM,COW,RODEO,PASSENGER,PASSENGER,PASSENGER,COW,RODEO,BOOTS,COWBOY,FRONTIER,OUTLAW,RANGE,COW,RIDE,SALOON,COURT,GUILT,LAW,LAW,COURT,ATTORNEY,COURT,GUILTY,JUDGE,LAW,JURY,OATH,ATTORNEY,JUDGE,JUSTICE,APOLOGY,COURT,COURT,COURT,BASKETBALL,BASEBALL,BASKETBALL,BASKETBALL,NET,BASEBALL,REFEREE,UMPIRE,BASEBALL,COACH,AMATEUR,BALL,CENTER,LEAGUE,PRACTICE,COURT,BASKETBALL,NET,REFEREE,RACQUETBALL,UMPIRE,BALL,LEAGUE,HOUSE,FRATERNITY,OWN,HOUSE,REAL ESTATE,LIVE,HOUSE,NEIGHBORHOOD,DOORWAY,BRICK,LIVING ROOM,HOUSE,ROOF,PAINTING,HOUSE,HOUSE,HOUSE,CASTLE,HOUSE,HOUSE,SIDING,HOUSE,HOUSE,PATIO,HOUSE,HOUSE,UPSTAIRS,DRAPES,HOUSE,ALCOHOL,ANIMALS,WILDERNESS,LION,ANIMALS,COW,STEER,COW,PIG,COW,DIARY,FARM,VEAL,MEAT,COW,SKILLET,EGGS,OVEN,PAN,ROAST,SKILLET,EGGS,PAN,OVEN,PAN,ROAST,WAGE,WAGE,SALARY,WAGE,EARN,WAGE,LITTLE,MUCH,LEAST,SALARY,WAGE,SHALLOW,PUT DOWN,WAGE,WAGE,GROSS,JOB,SALARY,WAGE,APEX,CLIMAX,PEAK,TURN,APEX,CLIMAX,APEX
2,SCARE,TIMID,NERVOUS,SCARED,TIMID,FRIGHTENED,SHY,HEIGHTS,BRAVE,SUPERSTITION,TIMID,RUN,AFRAID,QUIET,AFRAID,SCARE,MONSTER,FRIGHT,SCARE,FRIGHT,FEAR,FRIGHT,SCREAM,SCARE,MOVIE,MONSTER,FRIGHT,SCARE,FRIGHT,FEAR,FRIGHT,SCREAM,JERK,CUTE,ATTRACT,HORMONES,GIRLS,GUYS,HORMONES,GUYS,JERK,UNTRUTHFUL,JERK,JERK,CIRCUMSTANCE,TIME,INSTANT,INSTANT,INSTANT,EMERGENCY,ONCE,CIRCUMSTANCE,CIRCUMSTANCE,CIRCUMSTANCE,CIRCUMSTANCE,CIRCUMSTANCE,CIRCUMSTANCE,RANCH,COWBOY,RANCH,COUNTRY,RANCH,COWBOY,RANCH,FARM,RANCH,VAN,BUS,AUTO,COWBOY,RANCH,COWBOY,WEST,COWBOY,COWBOY,COWBOY,COWBOY,COWBOY,COWBOY,BASKETBALL,GUILTY,COURT,COURT,RIGHTS,COURT,ORDER,EVIDENCE,COURT,COURT,TRIAL,LAW,COURT,COURT,LAW,SORROW,PROVE,LAWYER,BASKETBALL,SPORTS,FOUL,FOOTBALL,RACQUETBALL,BASKETBALL,SINKER,RACQUETBALL,ACTIVE,BASKETBALL,FOOTBALL,PRO,REFEREE,BASKETBALL,SOFTBALL,BASKETBALL,BASKETBALL,RACQUETBALL,BASKETBALL,RACQUETBALL,FOOTBALL,ACTIVE,REFEREE,SOFTBALL,ALE,SORORITY,RENT,MAID,,LIVING,TERRITORY,HOUSE,HOUSE,CEMENT,FURNITURE,APARTMENT,SHINGLE,PAINTER,BURGLAR,PROPRIETOR,RANCH,PALACE,BUILDER,INSIDE,PANEL,DECORATE,CONGRESS,PORCH,EVICT,HUT,HOUSE,HOUSE,ALE,COCKTAIL,COW,NATURE,ANIMALS,COW,BULL,COW,OX,COW,COWBOY,DAIRY,RANCH,CALF,COW,FARM,PAN,WAFFLES,TOASTER,IRON,SEAFOOD,PAN,WAFFLES,UTENSIL,TOASTER,IRON,SEAFOOD,MINIMUM,EARN,EARN,EARN,WORK,MINIMUM,LESS,ALL,FEW,EARN,MINIMUM,LOW,,MINIMUM,EARN,INCOME,INCOME,EARN,EARN,SUMMIT,BOOK,POINT,SUMMIT,TOP,END,CLIMAX
3,FRIGHT,SCARED,SCARED,,VULNERABLE,,SCARED,,AFRAID,,SCARED,,,MEEK,LONELY,FRIGHT,FRIGHT,SPOOK,FRIGHT,,FRIGHT,,FRIGHT,FRIGHT,HORROR,FRIGHT,SPOOK,FRIGHT,,FRIGHT,,FRIGHT,,,,,HORMONES,,,HORMONES,,,BRAT,,,,HECTIC,MINUTE,MINUTE,SOON,,,,,,,,RIDER,COWGIRL,RIDER,RANCH,BARN,COWGIRL,ANIMAL,GRAIN,RIDER,TRANSPORTATION,DRIVER,VAN,COWGIRL,RIDER,,,,,,COWGIRL,,,RACQUETBALL,INNOCENT,GUILTY,,,LAWYER,,TRIAL,,JUST,LAWYER,COURT,LAWYER,,COURT,REMORSE,,,RACQUETBALL,,,SPORTS,FOOTBALL,VOLLEYBALL,,UMPIRE,BASEBALL,BENCH,VOLLEYBALL,TENNIS,RACQUETBALL,,COACH,,RACQUETBALL,FOOTBALL,VOLLEYBALL,UMPIRE,RECREATION,BASEBALL,RACQUETBALL,COACH,,,MORTGAGE,,,,,COMMUNITY,,,BEDROOM,,,PAINT,ROBBERY,OWNER,BARN,,CONSTRUCT,INDOORS,,,,,,LODGE,LADDER,,,FLASK,,,,,,HERD,BISON,FARMER,COWGIRL,COW,ANIMAL,COW,RIBS,GRAIN,,PAN,APPLIANCE,,RECIPE,,PAN,,APPLIANCE,,RECIPE,LOW,INCOME,MONEY,PAY,,LOW,LOTS,SCARCITY,MINIMUM,MONEY,LOW,,,LOW,INCOME,,,MONEY,PAY,PEAK,,,,SUMMIT,,SUMMIT
4,,,ANXIOUS,,MEEK,,INNOCENT,,COWARD,,,,,,,,HORROR,,,,SCARE,,SCARE,,SUSPENSE,HORROR,,,,SCARE,,SCARE,,,,,,,,,,,COCKY,,,,EMERGENCY,IMPULSE,,IMMEDIATE,,,,,,,,COWBOY,RANCH,COWBOY,FARMER,,RANCH,FARMER,CATTLE,COWBOY,BUS,CAB,BUS,RANCH,COWBOY,,,,,,RANCH,,,,INNOCENCE,PLEAD,,,LAWS,,LAW,,,COURT,,DEFEND,,JUSTIFY,ACCUSE,,,,,,BASEBALL,VOLLEYBALL,RACQUETBALL,,TENNIS,RECREATION,,SPORTS,SPORTS,TENNIS,,RACQUETBALL,,,VOLLEYBALL,RACQUETBALL,TENNIS,VOLLEYBALL,RECREATION,TENNIS,RACQUETBALL,,,LEASE,,,,,SUBURB,,,,,,,,,,,MASON,,,,,,,COTTAGE,STEPS,,,LIQUOR,,,,,,,CATTLE,,RANCH,,FARMER,CATTLE,CATTLE,CATTLE,,OMELET,MICROWAVE,,MICROWAVE,,OMELET,,MICROWAVE,,MICROWAVE,INCOME,,MINIMUM,INCOME,,INCOME,SOME,PLENTY,SMALL,MINIMUM,INCOME,,,INCOME,,,,MINIMUM,INCOME,CREST,,,,PEAK,,PEAK
5,,,UNEASY,,,,INNOCENCE,,,,,,,,,,SUSPENSE,,,,,,,,TERROR,SUSPENSE,,,,,,,,,,,,,,,,,CONCEITED,,,,INSTANCE,,,INSTANCE,,,,,,,,,RODEO,,,,RODEO,BARN,BARN,,CAR,RIDER,AUTOMOBILE,RODEO,,,,,,,RODEO,,,,,,,,,,WITNESS,,,LAW,,GUILTY,,,MURDERER,,,,,,STADIUM,SPORTS,,,VOLLEYBALL,BASKETBALL,,PLAYER,BASEBALL,PITCHER,,TENNIS,,,SPORTS,,VOLLEYBALL,ACTIVITY,BASKETBALL,PITCHER,TENNIS,,,,,,,,VILLAGE,,,,,,,,,,,CONSTRUCTION,,,,,,,CABIN,STAIRS,,,INTOXICATED,,,,,,,BUFFALO,,RODEO,,BARN,,STEAK,BARN,,FRY,CHEF,,CHEF,,FRY,,CHEF,,CHEF,,,INCOME,,,,LEAST,LESS,SCARCE,INCOME,,,,,,,,INCOME,,CRESCENT,,,,CREST,,CREST
6,,,AFRAID,,,,TIMID,,,,,,,,,,TERROR,,,,,,,,,TERROR,,,,,,,,,,,,,,,,,OBNOXIOUS,,,,SOON,,,IMPULSE,,,,,,,,,STRAW,,,,STRAW,,FIBER,,VEHICLE,,CARAVAN,STRAW,,,,,,,STRAW,,,,,,,,,,,,,JUDGMENT,,DEFENSE,,,SORRY,,,,,,,ACTIVITY,,,SPORTS,TENNIS,,BASKETBALL,PROFESSIONAL,VOLLEYBALL,,VOLLEYBALL,,,ACTIVITY,,SPORTS,SOCCER,TENNIS,VOLLEYBALL,VOLLEYBALL,,,,,,,,GHETTO,,,,,,,,,,,ARCHITECT,,,,,,,,BALCONY,,,DRUNK,,,,,,,,,STRAW,,,,RIB,FIBER,,SKILLET,MIX,,MIX,,SKILLET,,MIX,,MIX,,,,,,,MOST,LOTS,,,,,,,,,,,,,,,,CLIMAX,,CRESCENT
7,,,TENSE,,,,NAIVE,,,,,,,,,,SCARE,,,,,,,,,SCARE,,,,,,,,,,,,,,,,,ARROGANT,,,,FAST,,,HURRY,,,,,,,,,HAY,,,,HAY,,COWGIRL,,AUTOMOBILE,,CAB,HAY,,,,,,,HAY,,,,,,,,,,,,,,,ACCUSE,,,UNDERSTANDING,,,,,,,FUN,,,PLAYER,PITCHER,,BASEBALL,ATHLETE,PLAYER,,PLAYER,,,FUN,,PLAYER,,PITCHER,PLAYER,PLAYER,,,,,,,,,,,,,,,,,,,ARCHITECTURE,,,,,,,,,,,BOURBON,,,,,,,,,HAY,,,,,COWGIRL,,EGG,STEW,,PUDDING,,EGG,,STEW,,PUDDING,,,,,,,ENOUGH,MANY,,,,,,,,,,,,,,,,CRESCENT,,
8,,,FRANTIC,,,,VULNERABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,URGENT,,,SPONTANEOUS,,,,,,,,,CATTLE,,,,CATTLE,,GRAZE,,CARAVAN,,TRUCK,CATTLE,,,,,,,CATTLE,,,,,,,,,,,,,,,,,,STEAL,,,,,,,,,,GAME,GYMNAST,,TEAM,FOOTBALL,CATCHER,,BASKETBALL,,,,,GAME,,GYMNAST,CATCHER,BASKETBALL,,,,,,,,,,,,,,,,,,,CONTRACTOR,,,,,,,,,,,CHAMPAGNE,,,,,,,,,CATTLE,,,,,GRAZE,,BOIL,ROAST,,STEW,,BOIL,,ROAST,,STEW,,,,,,,MUCH,SELDOM,,,,,,,,,,,,,,,,,,
9,,,PANIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRANTIC,,,,,,,,,,,,HAYSTACK,,,,HAYSTACK,,BARLEY,,TRUCK,,SUBWAY,HAYSTACK,,,,,,,HAYSTACK,,,,,,,,,,,,,,,,,,SIN,,,,,,,,,,BASKETBALL,ACTIVITY,,SOFTBALL,,BASEBALL,,BASEBALL,,,,,BASKETBALL,,ACTIVITY,BASEBALL,BASEBALL,,,,,,,,,,,,,,,,,,,STRUCTURE,,,,,,,,,,,TONIC,,,,,,,,,HAYSTACK,,,,,BARLEY,,,BAKE,,OVEN,,,,BAKE,,OVEN,,,,,,,MINIMUM,SOME,,,,,,,,,,,,,,,,,,
10,,,EXCITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMMEDIATE,,,,,,,,,,,,RIDER,,,,RIDER,,SOW,,SUBWAY,,VEHICLE,RIDER,,,,,,,RIDER,,,,,,,,,,,,,,,,,,PITY,,,,,,,,,,BASEBALL,SOCCER,,SOCCER,,GLOVE,,SPORT,,,,,BASEBALL,,SOCCER,GLOVE,SPORT,,,,,,,,,,,,,,,,,,,BUILD,,,,,,,,,,,JUG,,,,,,,,,RIDER,,,,,SOW,,,REFRIGERATOR,,YUMMY,,,,REFRIGERATOR,,YUMMY,,,,,,,SCARCITY,LEAST,,,,,,,,,,,,,,,,,,
11,,,WORRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMPULSE,,,,,,,,,,,,BARN,,,,BARN,,FARMER,,AUTO,,TRANSPORTATION,BARN,,,,,,,BARN,,,,,,,,,,,,,,,,,,DENIAL,,,,,,,,,,SOFTBALL,CATCHER,,,,SOFTBALL,,ACTIVITY,,,,,SOFTBALL,,CATCHER,SOFTBALL,ACTIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DRINK,,,,,,,,,BARN,,,,,FARMER,,,DEFROST,,DOUGHNUT,,,,DEFROST,,DOUGHNUT,,,,,,,SCARCE,MOST,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUICK,,,,,,,,,,,,,,,,,,PASTURE,,CAB,,RIDER,,,,,,,,,,,,,,,,,,,,,,,,,,IRRITATE,,,,,,,,,,ACTIVITY,RACQUETBALL,,,,RACKET,,ACTIVE,,,,,ACTIVITY,,RACQUETBALL,RACKET,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOOZE,,,,,,,,,,,,,,PASTURE,,,KETTLE,,BAKE,,,,KETTLE,,BAKE,,,,,,,FEW,ENOUGH,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HURRY,,,,,,,,,,,,,,,,,,HAYSTACK,,RIDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAD,,,,,,,,,,SOCCER,ATHLETIC,,,,SOCCER,,SOCCER,,,,,SOCCER,,ATHLETIC,SOCCER,SOCCER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTOXICATE,,,,,,,,,,,,,,HAYSTACK,,,PAN,,PAN,,,,PAN,,PAN,,,,,,,,MINIMUM,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPONTANEOUS,,,,,,,,,,,,,,,,,,SHEEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BANDIT,,,,,,,,,,FOOTBALL,ATHLETE,,,,BASKETBALL,,FOOTBALL,,,,,FOOTBALL,,ATHLETE,BASKETBALL,FOOTBALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTAINER,,,,,,,,,,,,,,SHEEP,,,BROIL,,GRAVY,,,,BROIL,,GRAVY,,,,,,,,LOT,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HUSTLE,,,,,,,,,,,,,,,,,,HOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROOK,,,,,,,,,,,FOOTBALL,,,,FOOTBALL,,,,,,,,,FOOTBALL,FOOTBALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INEBRIATED,,,,,,,,,,,,,,HOE,,,SKILLET,,CLAM,,,,SKILLET,,CLAM,,,,,,,,SCARCE,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DECENCY,,,,,,,,,,,GLOVE,,,,,,,,,,,,,GLOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VODKA,,,,,,,,,,,,,,CROPS,,,QUIVER,,DESSERT,,,,QUIVER,,DESSERT,,,,,,,,SEVERAL,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLICEMAN,,,,,,,,,,,PLAYER,,,,,,,,,,,,,PLAYER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WHISKEY,,,,,,,,,,,,,,CORN,,,GOURMET,,PIE,,,,GOURMET,,PIE,,,,,,,,NUMEROUS,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RANCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GANGSTER,,,,,,,,,,,REFEREE,,,,,,,,,,,,,REFEREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRANDY,,,,,,,,,,,,,,RANCH,,,RECIPE,,SHRIMP,,,,RECIPE,,SHRIMP,,,,,,,,FEW,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OATMEAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRITIC,,,,,,,,,,,GYMNASTICS,,,,,,,,,,,,,GYMNASTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIN,,,,,,,,,,,,,,OATMEAL,,,BAKER,,OMELET,,,,BAKER,,OMELET,,,,,,,,MORE,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PITCHFORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VICTIM,,,,,,,,,,,SOFTBALL,,,,,,,,,,,,,SOFTBALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUM,,,,,,,,,,,,,,PITCHFORK,,,FREEZER,,SCALLOP,,,,FREEZER,,SCALLOP,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLAIM,,,,,,,,,,,RACKET,,,,,,,,,,,,,RACKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAVERN,,,,,,,,,,,,,,HAY,,,FREEZE,,COBBLER,,,,FREEZE,,COBBLER,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUT DOWN,,,,,,,,,,,LEAGUE,,,,,,,,,,,,,LEAGUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALE,,,,,,,,,,,,,,EWE,,,SHUTTER,,REFRIGERATOR,,,,SHUTTER,,REFRIGERATOR,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEREAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUTLAW,,,,,,,,,,,COACH,,,,,,,,,,,,,COACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUB,,,,,,,,,,,,,,CEREAL,,,COOK,,DELICIOUS,,,,COOK,,DELICIOUS,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNLAWFUL,,,,,,,,,,,VOLLEYBALL,,,,,,,,,,,,,VOLLEYBALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEER,,,,,,,,,,,,,,HERD,,,FRY,,CAKE,,,,FRY,,CAKE,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INMATE,,,,,,,,,,,SPORTS,,,,,,,,,,,,,SPORTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOTTLE,,,,,,,,,,,,,,LAMB,,,FRIED,,LOBSTER,,,,FRIED,,LOBSTER,,,,,,,,,,,,,,,,,,,,,,,,,,
